Nation,Country,Region,Year,CO2 Emissions,Emissions from bunker fuels,Emissions from cement production,Emissions from gas flaring,Emissions from gas fuel consumption,Emissions from liquid fuel consumption,Emissions from solid fuel consumption,Gdp Ppp,Number of Records,Per capita CO2 emissions,Population,Total CO2 emissions from fossil-fuels and cement production
ISLAMIC REPUBLIC OF IRAN,IRAN,Asia,1950,"-1,473",9,9,0,0,"-1,627",145,62590917397,1,-0.08,17119263,"-1,473"
YEMEN,YEMEN,Asia,1990,-818,0,0,0,0,-818,0,44652210690,1,0,11961099,-818
VENEZUELA,VENEZUELA,South America,1930,-318,0,0,0,0,-325,7,16218877924,1,0,3562393,-318
KUWAIT,KUWAIT,Asia,1952,-119,780,0,0,0,-119,0,37880581544,1,-0.68,173622,-119
SAUDI ARABIA,SAUDI ARABIA,Asia,1951,-95,917,0,0,0,-95,0,38859885474,1,-0.03,3198551,-95
VENEZUELA,VENEZUELA,South America,1931,-70,0,0,0,0,-70,1,13700773289,1,0,3562393,-70
SAUDI ARABIA,SAUDI ARABIA,Asia,1952,-47,"1,023",0,0,0,-47,0,41446310484,1,-0.01,3283299,-47
IRAQ,IRAQ,Asia,1948,-26,0,0,0,0,-26,0,17476389630,1,0,4608028,-26
KUWAIT,KUWAIT,Asia,1953,-14,"1,035",0,0,0,-14,0,41508750698,1,-0.08,181957,-14
BRUNEI (DARUSSALAM),BRUNEI,Asia,1930,0,0,0,0,0,0,0,76519138.71,1,0,29451,0
BRUNEI (DARUSSALAM),BRUNEI,Asia,1931,0,0,0,0,0,0,0,90424190.47,1,0,29451,0
BRUNEI (DARUSSALAM),BRUNEI,Asia,1932,0,0,0,0,0,0,0,107413883.6,1,0,29451,0
TUNISIA,TUNISIA,Africa,1922,0,0,0,0,0,0,0,3418716485,1,0,2152882,0
TUNISIA,TUNISIA,Africa,1923,0,0,0,0,0,0,0,3499893881,1,0,2152882,0
TUNISIA,TUNISIA,Africa,1924,0,0,0,0,0,0,0,3582999657,1,0,2152882,0
TUNISIA,TUNISIA,Africa,1932,0,0,0,0,0,0,0,4322959783,1,0,2152882,0
SAUDI ARABIA,SAUDI ARABIA,Asia,1935,0,0,0,0,0,0,0,14676579653,1,0,2974999,0
IRAQ,IRAQ,Asia,1924,0,0,0,0,0,0,0,7221214958,1,0,3728811,0
IRAQ,IRAQ,Asia,1925,0,0,0,0,0,0,0,7492101795,1,0,3728811,0
IRAQ,IRAQ,Asia,1926,0,0,0,0,0,0,0,7773150334,1,0,3728811,0
BRUNEI (DARUSSALAM),BRUNEI,Asia,1933,1,0,0,0,1,0,0,127601301.8,1,0,29451,1
LEBANON,LEBANON,Asia,1931,1,0,1,0,0,0,0,3615784556,1,0,1077273,1
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1928,1,0,0,0,0,1,0,5759565626,1,0,2624832,1
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1931,1,0,1,0,0,0,0,3989235051,1,0,2942179,1
ALGERIA,ALGERIA,Africa,1916,1,0,0,0,0,1,0,23754045442,1,0,6063800,1
PHILIPPINES,PHILIPPINES,Asia,1912,1,0,0,0,0,0,1,12781545920,1,0,9410424,1
REPUBLIC OF KOREA,North Korea,Asia,1945,1,0,1,0,0,0,0,10544784699,1,0,10549469,1
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,North America,1947,2,0,2,0,0,0,0,3638911845,1,0,2364650,2
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1931,2,0,0,0,0,2,0,6130142399,1,0,2624832,2
SAUDI ARABIA,SAUDI ARABIA,Asia,1936,2,0,0,0,0,2,0,15572002374,1,0,2974999,2
ALGERIA,ALGERIA,Africa,1917,2,0,0,0,0,1,1,24158600499,1,0,6063800,2
